Tier,Topic,Model,Dataset,Accuracy,ROC AUC,Positive Samples,Positive Ratio,Precision,Recall,F1 Score
tier 2,traffic crimes,Decision Tree,Train,1.0,1.0,3,0.0005286343612334801,1.0,1.0,1.0
tier 2,traffic crimes,Decision Tree,Validation,0.9978936282253817,0.49973628691983124,3,0.001579778830963665,0.0,0.0,0.0
tier 2,disturbing the peace,Decision Tree,Train,0.9998237885462555,0.9932432432432432,74,0.01303964757709251,1.0,0.9864864864864865,0.9931972789115646
tier 2,disturbing the peace,Decision Tree,Validation,0.9989468141126909,0.96,25,0.013164823591363875,1.0,0.92,0.9583333333333334
tier 2,malicious/criminal mischief,Decision Tree,Train,0.998590308370044,0.8095238095238095,21,0.0037004405286343613,1.0,0.6190476190476191,0.7647058823529411
tier 2,malicious/criminal mischief,Decision Tree,Validation,0.9947340705634544,0.49973544973544975,9,0.004739336492890996,0.0,0.0,0.0
tier 2,fraud in connection with identification documents,Decision Tree,Train,1.0,1.0,33,0.005814977973568282,1.0,1.0,1.0
tier 2,fraud in connection with identification documents,Decision Tree,Validation,0.9915745129015271,0.6476177871889889,10,0.0052659294365455505,0.25,0.3,0.2727272727272727
tier 2,dealing in stolen property,Decision Tree,Train,1.0,1.0,6,0.0010572687224669603,1.0,1.0,1.0
tier 2,dealing in stolen property,Decision Tree,Validation,0.9968404423380727,0.6242084432717679,4,0.00210637177461822,0.25,0.25,0.25
tier 2,antitrust,Decision Tree,Train,1.0,1.0,5,0.000881057268722467,1.0,1.0,1.0
tier 2,antitrust,Decision Tree,Validation,0.9968404423380727,0.642592872244035,7,0.003686150605581885,0.6666666666666666,0.2857142857142857,0.4
tier 2,election bribery,Decision Tree,Train,1.0,1.0,6,0.0010572687224669603,1.0,1.0,1.0
